,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
13152,43,65 y más,Extranjeros,Hombres,2020,3.765
13153,43,65 y más,Extranjeros,Hombres,2019,3.377
13154,43,65 y más,Extranjeros,Hombres,2018,3.188
13155,43,65 y más,Extranjeros,Hombres,2017,3.008
13156,43,65 y más,Extranjeros,Hombres,2016,2.878
13157,43,65 y más,Extranjeros,Hombres,2015,2.853
13158,43,65 y más,Extranjeros,Hombres,2014,2.772
13159,43,65 y más,Extranjeros,Hombres,2013,3.022
13160,43,65 y más,Extranjeros,Hombres,2012,2.995
13161,43,65 y más,Extranjeros,Hombres,2011,2.819
13162,43,65 y más,Extranjeros,Hombres,2010,2.692
13163,43,65 y más,Extranjeros,Hombres,2009,2.479
13164,43,65 y más,Extranjeros,Hombres,2008,2.256
13165,43,65 y más,Extranjeros,Hombres,2007,1.911
13166,43,65 y más,Extranjeros,Hombres,2006,1.657
13167,43,65 y más,Extranjeros,Hombres,2005,1.368
13168,43,65 y más,Extranjeros,Hombres,2004,1.119
13169,43,65 y más,Extranjeros,Hombres,2003,1.061
13170,43,65 y más,Extranjeros,Hombres,2002,889
13171,43,65 y más,Extranjeros,Hombres,2001,758
13172,43,65 y más,Extranjeros,Hombres,2000,644
13173,43,65 y más,Extranjeros,Hombres,1999,555
13174,43,65 y más,Extranjeros,Hombres,1998,491
13175,43,65 y más,Extranjeros,Mujeres,2022,4.789
13176,43,65 y más,Extranjeros,Mujeres,2021,4.457
13177,43,65 y más,Extranjeros,Mujeres,2020,4.221
13178,43,65 y más,Extranjeros,Mujeres,2019,3.818
13179,43,65 y más,Extranjeros,Mujeres,2018,3.465
13180,43,65 y más,Extranjeros,Mujeres,2017,3.210
13181,43,65 y más,Extranjeros,Mujeres,2016,3.121
13182,43,65 y más,Extranjeros,Mujeres,2015,3.056
13183,43,65 y más,Extranjeros,Mujeres,2014,2.963
13184,43,65 y más,Extranjeros,Mujeres,2013,3.257
13185,43,65 y más,Extranjeros,Mujeres,2012,3.192
13186,43,65 y más,Extranjeros,Mujeres,2011,2.961
13187,43,65 y más,Extranjeros,Mujeres,2010,2.784
13188,43,65 y más,Extranjeros,Mujeres,2009,2.549
13189,43,65 y más,Extranjeros,Mujeres,2008,2.334
13190,43,65 y más,Extranjeros,Mujeres,2007,1.993
13191,43,65 y más,Extranjeros,Mujeres,2006,1.709
13192,43,65 y más,Extranjeros,Mujeres,2005,1.471
13193,43,65 y más,Extranjeros,Mujeres,2004,1.193
13194,43,65 y más,Extranjeros,Mujeres,2003,1.136
13195,43,65 y más,Extranjeros,Mujeres,2002,951
13196,43,65 y más,Extranjeros,Mujeres,2001,768
13197,43,65 y más,Extranjeros,Mujeres,2000,654
13198,43,65 y más,Extranjeros,Mujeres,1999,567
13199,43,65 y más,Extranjeros,Mujeres,1998,511
13200,44,0-15 años,Españoles,Hombres,2022,7.829
13201,44,0-15 años,Españoles,Hombres,2021,7.921
13202,44,0-15 años,Españoles,Hombres,2020,7.966
13203,44,0-15 años,Españoles,Hombres,2019,8.064
13204,44,0-15 años,Españoles,Hombres,2018,8.062
13205,44,0-15 años,Españoles,Hombres,2017,8.167
13206,44,0-15 años,Españoles,Hombres,2016,8.221
13207,44,0-15 años,Españoles,Hombres,2015,8.281
13208,44,0-15 años,Españoles,Hombres,2014,8.291
13209,44,0-15 años,Españoles,Hombres,2013,8.242
13210,44,0-15 años,Españoles,Hombres,2012,8.245
13211,44,0-15 años,Españoles,Hombres,2011,8.203
13212,44,0-15 años,Españoles,Hombres,2010,8.278
13213,44,0-15 años,Españoles,Hombres,2009,8.387
13214,44,0-15 años,Españoles,Hombres,2008,8.455
13215,44,0-15 años,Españoles,Hombres,2007,8.513
13216,44,0-15 años,Españoles,Hombres,2006,8.593
13217,44,0-15 años,Españoles,Hombres,2005,8.696
13218,44,0-15 años,Españoles,Hombres,2004,8.742
13219,44,0-15 años,Españoles,Hombres,2003,8.959
13220,44,0-15 años,Españoles,Hombres,2002,9.116
13221,44,0-15 años,Españoles,Hombres,2001,9.296
13222,44,0-15 años,Españoles,Hombres,2000,9.499
13223,44,0-15 años,Españoles,Hombres,1999,9.761
13224,44,0-15 años,Españoles,Hombres,1998,9.933
13225,44,0-15 años,Españoles,Mujeres,2022,7.528
13226,44,0-15 años,Españoles,Mujeres,2021,7.608
13227,44,0-15 años,Españoles,Mujeres,2020,7.628
13228,44,0-15 años,Españoles,Mujeres,2019,7.705
13229,44,0-15 años,Españoles,Mujeres,2018,7.768
13230,44,0-15 años,Españoles,Mujeres,2017,7.843
13231,44,0-15 años,Españoles,Mujeres,2016,7.879
13232,44,0-15 años,Españoles,Mujeres,2015,7.942
13233,44,0-15 años,Españoles,Mujeres,2014,7.878
13234,44,0-15 años,Españoles,Mujeres,2013,7.882
13235,44,0-15 años,Españoles,Mujeres,2012,7.888
13236,44,0-15 años,Españoles,Mujeres,2011,7.877
13237,44,0-15 años,Españoles,Mujeres,2010,7.923
13238,44,0-15 años,Españoles,Mujeres,2009,7.978
13239,44,0-15 años,Españoles,Mujeres,2008,8.029
13240,44,0-15 años,Españoles,Mujeres,2007,8.081
13241,44,0-15 años,Españoles,Mujeres,2006,8.188
13242,44,0-15 años,Españoles,Mujeres,2005,8.281
13243,44,0-15 años,Españoles,Mujeres,2004,8.453
13244,44,0-15 años,Españoles,Mujeres,2003,8.610
13245,44,0-15 años,Españoles,Mujeres,2002,8.798
13246,44,0-15 años,Españoles,Mujeres,2001,8.970
13247,44,0-15 años,Españoles,Mujeres,2000,9.204
13248,44,0-15 años,Españoles,Mujeres,1999,9.476
13249,44,0-15 años,Españoles,Mujeres,1998,9.708
13250,44,0-15 años,Extranjeros,Hombres,2022,1.552
13251,44,0-15 años,Extranjeros,Hombres,2021,1.503
13252,44,0-15 años,Extranjeros,Hombres,2020,1.473
13253,44,0-15 años,Extranjeros,Hombres,2019,1.397
13254,44,0-15 años,Extranjeros,Hombres,2018,1.366
13255,44,0-15 años,Extranjeros,Hombres,2017,1.392
13256,44,0-15 años,Extranjeros,Hombres,2016,1.476
13257,44,0-15 años,Extranjeros,Hombres,2015,1.583
13258,44,0-15 años,Extranjeros,Hombres,2014,1.670
13259,44,0-15 años,Extranjeros,Hombres,2013,1.807
13260,44,0-15 años,Extranjeros,Hombres,2012,1.913
13261,44,0-15 años,Extranjeros,Hombres,2011,1.957
13262,44,0-15 años,Extranjeros,Hombres,2010,1.888
13263,44,0-15 años,Extranjeros,Hombres,2009,1.767
13264,44,0-15 años,Extranjeros,Hombres,2008,1.581
13265,44,0-15 años,Extranjeros,Hombres,2007,1.243
13266,44,0-15 años,Extranjeros,Hombres,2006,996
