,Provincias,Ramas de actividad,Año,Total
483,15,Impuestos netos sobre los productos,2021,2605205
484,15,Impuestos netos sobre los productos,2020,2219368
485,15,Impuestos netos sobre los productos,2019,2579144
507,16,Valor añadido bruto total,2021,4156370
508,16,Valor añadido bruto total,2020,3828093
509,16,Valor añadido bruto total,2019,4095354
510,16,Impuestos netos sobre los productos,2021,437631
511,16,Impuestos netos sobre los productos,2020,367121
512,16,Impuestos netos sobre los productos,2019,420166
534,20,Valor añadido bruto total,2021,21568065
535,20,Valor añadido bruto total,2020,19924378
536,20,Valor añadido bruto total,2019,22214647
537,20,Impuestos netos sobre los productos,2021,2270935
538,20,Impuestos netos sobre los productos,2020,1910784
539,20,Impuestos netos sobre los productos,2019,2279126
561,17,Valor añadido bruto total,2021,19320851
562,17,Valor añadido bruto total,2020,17812501
563,17,Valor añadido bruto total,2019,19797212
564,17,Impuestos netos sobre los productos,2021,2034323
565,17,Impuestos netos sobre los productos,2020,1708251
566,17,Impuestos netos sobre los productos,2019,2031108
588,18,Valor añadido bruto total,2021,15507677
589,18,Valor añadido bruto total,2020,14419412
590,18,Valor añadido bruto total,2019,15766431
591,18,Impuestos netos sobre los productos,2021,1632828
592,18,Impuestos netos sobre los productos,2020,1382848
593,18,Impuestos netos sobre los productos,2019,1617567
615,19,Valor añadido bruto total,2021,4978548
616,19,Valor añadido bruto total,2020,4606139
617,19,Valor añadido bruto total,2019,4956792
618,19,Impuestos netos sobre los productos,2021,524199
619,19,Impuestos netos sobre los productos,2020,441737
620,19,Impuestos netos sobre los productos,2019,508545
642,21,Valor añadido bruto total,2021,9737824
643,21,Valor añadido bruto total,2020,8434608
644,21,Valor añadido bruto total,2019,9562991
645,21,Impuestos netos sobre los productos,2021,1025311
646,21,Impuestos netos sobre los productos,2020,808894
647,21,Impuestos netos sobre los productos,2019,981121
669,22,Valor añadido bruto total,2021,6154383
670,22,Valor añadido bruto total,2020,5727797
671,22,Valor añadido bruto total,2019,5894501
672,22,Impuestos netos sobre los productos,2021,648005
673,22,Impuestos netos sobre los productos,2020,549306
674,22,Impuestos netos sobre los productos,2019,604750
696,23,Valor añadido bruto total,2021,10634813
697,23,Valor añadido bruto total,2020,9741506
698,23,Valor añadido bruto total,2019,10131195
699,23,Impuestos netos sobre los productos,2021,1119756
700,23,Impuestos netos sobre los productos,2020,934228
701,23,Impuestos netos sobre los productos,2019,1039417
723,24,Valor añadido bruto total,2021,9250629
724,24,Valor añadido bruto total,2020,8490161
725,24,Valor añadido bruto total,2019,9154081
726,24,Impuestos netos sobre los productos,2021,974013
727,24,Impuestos netos sobre los productos,2020,814222
728,24,Impuestos netos sobre los productos,2019,939169
750,25,Valor añadido bruto total,2021,11362534
751,25,Valor añadido bruto total,2020,10513633
752,25,Valor añadido bruto total,2019,11464908
753,25,Impuestos netos sobre los productos,2021,1196379
754,25,Impuestos netos sobre los productos,2020,1008276
755,25,Impuestos netos sobre los productos,2019,1176250
777,27,Valor añadido bruto total,2021,6690870
778,27,Valor añadido bruto total,2020,6288168
779,27,Valor añadido bruto total,2019,7041489
780,27,Impuestos netos sobre los productos,2021,704492
781,27,Impuestos netos sobre los productos,2020,603047
782,27,Impuestos netos sobre los productos,2019,722426
804,28,Valor añadido bruto total,2021,214911881
805,28,Valor añadido bruto total,2020,199863255
806,28,Valor añadido bruto total,2019,219566651
807,28,Impuestos netos sobre los productos,2021,22628411
808,28,Impuestos netos sobre los productos,2020,19167249
809,28,Impuestos netos sobre los productos,2019,22526584
831,29,Valor añadido bruto total,2021,27844256
832,29,Valor añadido bruto total,2020,25695821
833,29,Valor añadido bruto total,2019,29206195
834,29,Impuestos netos sobre los productos,2021,2931765
835,29,Impuestos netos sobre los productos,2020,2464276
836,29,Impuestos netos sobre los productos,2019,2996429
858,30,Valor añadido bruto total,2021,29602352
859,30,Valor añadido bruto total,2020,27169843
860,30,Valor añadido bruto total,2019,29311969
861,30,Impuestos netos sobre los productos,2021,3116878
862,30,Impuestos netos sobre los productos,2020,2605637
863,30,Impuestos netos sobre los productos,2019,3007281
885,31,Valor añadido bruto total,2021,18563854
886,31,Valor añadido bruto total,2020,17280233
887,31,Valor añadido bruto total,2019,18931144
888,31,Impuestos netos sobre los productos,2021,1954617
889,31,Impuestos netos sobre los productos,2020,1657206
890,31,Impuestos netos sobre los productos,2019,1942253
912,32,Valor añadido bruto total,2021,6427470
913,32,Valor añadido bruto total,2020,5825822
914,32,Valor añadido bruto total,2019,6440094
915,32,Impuestos netos sobre los productos,2021,676758
916,32,Impuestos netos sobre los productos,2020,558707
917,32,Impuestos netos sobre los productos,2019,660726
939,34,Valor añadido bruto total,2021,3893782
940,34,Valor añadido bruto total,2020,3676590
941,34,Valor añadido bruto total,2019,3999896
942,34,Impuestos netos sobre los productos,2021,409982
943,34,Impuestos netos sobre los productos,2020,352592
944,34,Impuestos netos sobre los productos,2019,410372
966,35,Valor añadido bruto total,2021,19955703
967,35,Valor añadido bruto total,2020,17969382
968,35,Valor añadido bruto total,2019,21961102
969,35,Impuestos netos sobre los productos,2021,2101168
970,35,Impuestos netos sobre los productos,2020,1723297
971,35,Impuestos netos sobre los productos,2019,2253114
993,36,Valor añadido bruto total,2021,19893691
994,36,Valor añadido bruto total,2020,18273467
995,36,Valor añadido bruto total,2019,19623979
996,36,Impuestos netos sobre los productos,2021,2094638
997,36,Impuestos netos sobre los productos,2020,1752459
998,36,Impuestos netos sobre los productos,2019,2013335
1020,26,Valor añadido bruto total,2021,7798647
1021,26,Valor añadido bruto total,2020,7396286
1022,26,Valor añadido bruto total,2019,8001483
