,ID Energía,ID Comunidad,Año,Mes,Valor,Porcentaje
163,0,6,2019,8,214.338,0.011968306084159743
164,0,6,2019,9,198.345,0.009001498729456459
165,0,6,2019,10,143.967,0.004469927977145608
166,0,6,2019,11,63.824,0.0012416009099885737
167,0,6,2019,12,83.764,0.0015217457317919878
168,5,6,2019,1,7329.449,0.20890600172065407
169,5,6,2019,2,4915.641,0.09921035524977005
170,5,6,2019,3,4988.758,0.1398440919228116
171,5,6,2019,4,6202.597,0.1763191092586026
172,5,6,2019,5,6463.383,0.19889178941460176
173,5,6,2019,6,6214.583,0.23063502982934517
174,5,6,2019,7,6304.203,0.2841241418467538
175,5,6,2019,8,6447.88,0.3600397569909765
176,5,6,2019,9,5977.142,0.271260864245536
177,5,6,2019,10,6039.361,0.18751178185266118
178,5,6,2019,11,6002.143,0.11676275712399016
179,5,6,2019,12,6024.545,0.10944827897114227
180,1,6,2019,1,3491.6665,0.09952045342793847
181,1,6,2019,2,3104.1215,0.06264920419401032
182,1,6,2019,3,3487.364,0.09775724775270798
183,1,6,2019,4,2729.852,0.0776005716714813
184,1,6,2019,5,3505.4205,0.10786910753944615
185,1,6,2019,6,3380.5175,0.12545745297007432
186,1,6,2019,7,3433.519,0.1547452769825978
187,1,6,2019,8,3428.761,0.19145676985616011
188,1,6,2019,9,3365.859,0.15275290787279533
189,1,6,2019,10,3476.0315,0.10792480534629056
190,1,6,2019,11,1043.4315,0.020298406554129206
191,1,6,2019,12,3469.3295,0.06302752207159437
192,2,7,2019,1,56524.881,0.046282850859860496
193,2,7,2019,2,65394.535,0.07446139242092797
194,2,7,2019,3,68060.45,0.06826069041446736
195,2,7,2019,4,66665.149,0.05967701596416004
196,2,7,2019,5,64692.345,0.06780318588316271
197,2,7,2019,6,48251.199,0.04897773705340384
198,2,7,2019,7,59170.406,0.06152312562833324
199,2,7,2019,8,51212.644,0.06455499567909119
200,2,7,2019,9,47172.254,0.05825554094590452
201,2,7,2019,10,24349.004,0.031064019855943707
202,2,7,2019,11,24587.189,0.015232479836671699
203,2,7,2019,12,46057.884,0.046095777171911496
204,3,7,2019,1,1003724.223,0.8218543355719466
205,3,7,2019,2,611174.978,0.6959135021712445
206,3,7,2019,3,654481.477,0.6564070246890865
207,3,7,2019,4,830498.321,0.7434418478615432
